TerminalID,LocationAddress,Latitude,Longitude,RatePackageID,RatePackageDescription,FullRate,POS,NumberOfSpaces,CLZTerminal,Availability,unavailable,objectID
471102,1134 W BRYN MAWR AVE,41.9836811,-87.6595046,418000007,"$2.50, Mon-Sat 8 AM-10 PM, 3 hr POS",2.5,3,10,0,3,FALSE,11548884000
409602,11344 S MICHIGAN AVE,41.6876006,-87.6209738,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,10,0,3,FALSE,11547443000
409607,11347 S MICHIGAN AVE,41.6879517,-87.6209617,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,14,0,3,FALSE,11547448000
248404,1135 N DEARBORN ST,41.9027826,-87.6299297,928000007,"$4.75, Mon-Sun 8 AM-11:59 PM, 2 hr POS",4.75,2,3,0,1,FALSE,11547457000
298319,1135 W CHICAGO AVE,41.8962418,-87.656686,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,5,0,3,FALSE,11550430000
473116,1135 W GRANVILLE AVE,41.9945039,-87.6597506,418000007,"$2.50, Mon-Sat 8 AM-10 PM, 3 hr POS",2.5,3,10,0,3,FALSE,11548925000
529406,1136 S CANAL ST,41.8679657,-87.6392474,430000007,"$4.75, Mon-Sat 8 AM-10 PM, 3 hr POS",4.75,3,6,0,3,FALSE,11548733000
466108,1136 W LELAND AVE,41.9672377,-87.6590002,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,6,0,2,FALSE,11548120000
754308,1136 W Randolph St,41.88468,-87.65594,928000007,"$4.75, Mon-Sun 8 AM-11:59 PM, 2 hr POS",4.75,2,10,0,3,FALSE,11549405000
472106,1136 W THORNDALE AVE,41.9900591,-87.6597409,418000007,"$2.50, Mon-Sat 8 AM-10 PM, 3 hr POS",2.5,3,8,0,3,FALSE,11548896000
468110,1137 W ARGYLE ST,41.9732345,-87.6592617,946000007,"$2.50, Mon-Sun 8 AM-10 PM, 2 hr POS",2.5,2,4,0,2,FALSE,11548150000
407213,1137 W WAVELAND AVE,41.9489814,-87.6571321,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,2,0,1,FALSE,11547428000
397301,1138 N MILWAUKEE AVE,41.9024557,-87.6650793,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,7,0,3,FALSE,11547859000
468109,1138 W ARGYLE ST,41.9732664,-87.6591732,946000007,"$2.50, Mon-Sun 8 AM-10 PM, 2 hr POS",2.5,2,5,0,3,FALSE,11548149000
258307,1138 W MADISON ST,41.8816416,-87.6562871,429000007,"$4.75, Mon-Sat 8 AM-10 PM, 2 hr POS",4.75,2,5,0,1,FALSE,11547548000
407204,1138 W WAVELAND AVE,41.9490077,-87.657027,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,4,0,2,FALSE,11547420000
374425,1139 N Wells St,41.9032793,-87.6344362,428000007,"$4.75, Mon-Sun 8 AM-10 PM, 2 hr POS",4.75,2,8,0,3,FALSE,11548462000
529408,1139 S CANAL ST,41.8677646,-87.6392027,431000007,"$4.75, Mon-Sun 8 AM-10 PM, 3 hr POS",4.75,3,6,0,2,FALSE,11548736000
285403,1139 S JEFFERSON ST,41.8674046,-87.6421686,431000007,"$4.75, Mon-Sun 8 AM-10 PM, 3 hr POS",4.75,3,9,0,3,FALSE,11549901000
538302,1139 S PAULINA ST,41.867504,-87.6688988,451003007,"$2.50, Mon-Sat 12 AM-11:59 PM, 3 hr POS RH1: Mon-Sun 12 AM-5 AM",2.5,3,15,0,3,FALSE,11549685000
471110,1139 W BRYN MAWR AVE,41.9836289,-87.6582573,418000007,"$2.50, Mon-Sat 8 AM-10 PM, 3 hr POS",2.5,3,5,0,1,FALSE,11548885000
465119,1139 W Wilson Ave,41.96528,-87.65895,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,6,0,3,FALSE,11550536000
358308,114 S SANGAMON ST,41.8798977,-87.6508267,430000007,"$4.75, Mon-Sat 8 AM-10 PM, 3 hr POS",4.75,3,9,0,3,FALSE,11546836000
238412,114 W ILLINOIS ST,41.890844,-87.6317918,928000007,"$4.75, Mon-Sun 8 AM-11:59 PM, 2 hr POS",4.75,2,7,0,1,FALSE,11546547000
374401,1140 N WELLS ST,41.9034344,-87.6344955,928000007,"$4.75, Mon-Sun 8 AM-11:59 PM, 2 hr POS",4.75,2,12,0,3,FALSE,11546944000
298301,1140 W CHICAGO AVE,41.8962777,-87.6561067,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,4,0,2,FALSE,11550413000
465113,1140 W WILSON AVE,41.9653935,-87.6592301,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,5,0,1,FALSE,11548111000
299304,1141 N ASHLAND AVE,41.9027351,-87.6673666,418000007,"$2.50, Mon-Sat 8 AM-10 PM, 3 hr POS",2.5,3,5,0,3,FALSE,11550435000
445210,1141 W BELMONT AVE,41.9398338,-87.6581043,915000007,"$2.50, Mon-Sat 8 AM-10 PM, Sun 10 AM-8 PM, 2 hr POS",2.5,2,8,0,3,FALSE,11547202000
